author,papers_with_chris,total_papers,theme
"Jolly, C. J.",4,4,Threatened species & conservation
"Kanishka, A. M.",4,4,Dasyurids & marsupials
"King, D. H.",4,4,Dasyurids & marsupials
"Laanisto, L.",4,4,Vegetation & plant ecology
"Lavery, T. H.",4,4,Predators & invasives
"Lepczyk, C. A.",4,4,Predators & invasives
"Luck, G. W.",4,4,Predators & invasives
"Masters, P.",4,4,Dasyurids & marsupials
"McArthur, C.",4,4,Dasyurids & marsupials
"Menkhorst, P. W.",4,4,Predators & invasives
"Miritis, V.",4,4,Threatened species & conservation
"Molsher, R.",4,4,Predators & invasives
"Mooney, N. J.",4,4,Predators & invasives
"Nguyen, V.",4,4,Arid zone ecology
"Pressey, R. L.",4,4,Threatened species & conservation
"Prober, S. M.",4,4,Vegetation & plant ecology
"Ren, Z.",4,4,Vegetation & plant ecology
"Saunders, G. R.",4,4,Predators & invasives
"Smith, B. P.",4,4,Predators & invasives
"Southwell, D. M.",4,4,Threatened species & conservation
"Taylor, M. F. J.",4,4,Threatened species & conservation
"Tedder, M. J.",4,4,Vegetation & plant ecology
"Turpin, J. M.",4,4,Predators & invasives
"Vieira, M. V.",4,4,Dasyurids & marsupials
"Wallach, A. D.",4,4,Predators & invasives
"Watts, C. H. S.",4,4,Predators & invasives
"Abensperg-Traun, M.",3,3,Threatened species & conservation
"Alberti, J.",3,3,Vegetation & plant ecology
"Anson, J. R.",3,3,Predators & invasives
"Apfelbach, R.",3,3,Predators & invasives
"Augusteyn, J.",3,3,Predators & invasives
"Ayers, D.",3,3,Threatened species & conservation
"Banks, S.",3,3,Predators & invasives
"Barton, P. S.",3,3,Predators & invasives
"Baseler, M.",3,3,Predators & invasives
"Bennison, K.",3,3,Arid zone ecology
"Blumstein, D. T.",3,3,Predators & invasives
"Bode, M.",3,3,Predators & invasives
"Brudvig, L. A.",3,3,Vegetation & plant ecology
"Buckmaster, T.",3,3,Predators & invasives
"Cairns, K. M.",3,3,Predators & invasives
"Carter, O.",3,3,Threatened species & conservation
"Chen, Q.",3,3,Vegetation & plant ecology
"Chen, X.",3,3,Dasyurids & marsupials
