author,papers_with_chris,total_papers,theme
"Dornelas, M.",1,1,Threatened species & conservation
"Doughty, P.",1,1,Threatened species & conservation
"Dowsett, N.",1,1,Vegetation & plant ecology
"Driessen, J.",1,1,Threatened species & conservation
"Driessen, M. M.",1,1,Predators & invasives
"Drury, R. L.",1,1,Other
"Duffy, D. C.",1,1,Other
"Duncan, S. E.",1,1,Other
"Dundas, S.",1,1,Other
"Dunlop, J.",1,1,Arid zone ecology
"Dyck, S. M.",1,1,Arid zone ecology
"Dziminski, M.",1,1,Dasyurids & marsupials
"Déaux, E. C.",1,1,Predators & invasives
"Díaz-Martínez, P.",1,1,Vegetation & plant ecology
"Eager, C.",1,1,Predators & invasives
"Eberhart, A.",1,1,Other
"Ebner, B. C.",1,1,Threatened species & conservation
"Einoder, L.",1,1,Threatened species & conservation
"Eklund, A.",1,1,Threatened species & conservation
"Eldridge, M. D. B.",1,1,Other
"Ellis, B.",1,1,Other
"Ellis, R.",1,1,Threatened species & conservation
"Emery, N. J.",1,1,Vegetation & plant ecology
"Endres, T.",1,1,Other
"English, A. W.",1,1,Predators & invasives
"Ens, E.",1,1,Other
"Etten, E. J. B.",1,1,Predators & invasives
"Everitt, C.",1,1,Other
"Eyre, T.",1,1,Predators & invasives
"Fantle-Lepczyk, J.",1,1,Predators & invasives
"Fay, A. R.",1,1,Predators & invasives
"Feldman, C. R.",1,1,Other
"Feller, M. C.",1,1,Threatened species & conservation
"Fendt, M.",1,1,Other
"Feng, Y.",1,1,Vegetation & plant ecology
"Fenner, A.",1,1,Threatened species & conservation
"Ferguson, D.",1,1,Predators & invasives
"Ferreira, G. A.",1,1,Other
"Ferrier, S.",1,1,Threatened species & conservation
"Ferris, J.",1,1,Predators & invasives
"Field, J.",1,1,Dasyurids & marsupials
"Figueiredo, M. S. L.",1,1,Dasyurids & marsupials
"Finlayson, S. T.",1,1,Dasyurids & marsupials
"FitzGibbon, S.",1,1,Other
"Fitzgerald, L. A.",1,1,Other
"Fitzsimons, J.",1,1,Threatened species & conservation
"Fleming, M. R.",1,1,Predators & invasives
"Fletcher, D.",1,1,Other
"Florence, B.",1,1,Predators & invasives
"Ford, S.",1,1,Threatened species & conservation
"Francis, E.",1,1,Predators & invasives
"Frank, J.",1,1,Threatened species & conservation
"Frater, P.",1,1,Vegetation & plant ecology
"Freudenberger, D.",1,1,Threatened species & conservation
"Fujita, T.",1,1,Predators & invasives
"Fust, C.",1,1,Dasyurids & marsupials
"Gaffney, R.",1,1,Predators & invasives
"Gaikhorst, G.",1,1,Threatened species & conservation
"Garbowski, M.",1,1,Vegetation & plant ecology
"Garkaklis, M. J.",1,1,Predators & invasives
"Gaughwin, M.",1,1,Dasyurids & marsupials
"Gherardi, L. A.",1,1,Vegetation & plant ecology
"Gibbons, P.",1,1,Threatened species & conservation
"Gibson, D. F.",1,1,Arid zone ecology
"Gibson, L. A.",1,1,Threatened species & conservation
"Giné, G. A. F.",1,1,Other
"Glasby, T. M.",1,1,Other
"Gleen, W.",1,1,Arid zone ecology
"González, T. M.",1,1,Predators & invasives
"Gordon, I. J.",1,1,Dasyurids & marsupials
"Graham, G.",1,1,Other
"Grant, T. R.",1,1,Predators & invasives
"Grayson, J.",1,1,Other
"Greatwich, B.",1,1,Dasyurids & marsupials
"Greenlees, M. J.",1,1,Threatened species & conservation
"Greenwood, L.",1,1,Predators & invasives
"Griffiths, A. D.",1,1,Threatened species & conservation
"Grosholz, E. D.",1,1,Predators & invasives
"Grosholz, T.",1,1,Predators & invasives
"Groves, C.",1,1,Threatened species & conservation
"Grégory, S.",1,1,Vegetation & plant ecology
"Haering, R.",1,1,Threatened species & conservation
"Hall, C. M.",1,1,Predators & invasives
"Halloran, L. R.",1,1,Vegetation & plant ecology
"Handasyde, K.",1,1,Predators & invasives
"Hanigan, I.",1,1,Arid zone ecology
"Hanke, P. U.",1,1,Arid zone ecology
"Harris, S.",1,1,Predators & invasives
"Harrison, N. D.",1,1,Dasyurids & marsupials
"Hart, R. K.",1,1,Other
"Hayssen, V.",1,1,Dasyurids & marsupials
"Healy, A.",1,1,Arid zone ecology
"Heckman, R. W.",1,1,Vegetation & plant ecology
"Hector, A.",1,1,Vegetation & plant ecology
"Heinz, D. E.",1,1,Other
"Heinze, D.",1,1,Threatened species & conservation
"Helm, A.",1,1,Vegetation & plant ecology
"Henry-Hall, N. J.",1,1,Predators & invasives
"Henschel, J. R.",1,1,Arid zone ecology
"Herman, K.",1,1,Threatened species & conservation
"Higgs, P. A.",1,1,Other
"Hik, D.",1,1,Threatened species & conservation
"Hill, P.",1,1,Threatened species & conservation
"Hillebrand, H.",1,1,Vegetation & plant ecology
"Hoadley, D.",1,1,Predators & invasives
"Hobson, R.",1,1,Threatened species & conservation
"Hochuli, D. F.",1,1,Threatened species & conservation
"Hodgens, N.",1,1,Threatened species & conservation
"Hofmockel, K. S.",1,1,Vegetation & plant ecology
"Hollanders, M.",1,1,Predators & invasives
"Holleley, C. E.",1,1,Dasyurids & marsupials
"Holz, P.",1,1,Dasyurids & marsupials
"Hone, J.",1,1,Predators & invasives
"Honywood, M. A. J.",1,1,Other
"Horsup, A.",1,1,Dasyurids & marsupials
"Horwitz, P.",1,1,Threatened species & conservation
"Hoskin, C. J.",1,1,Threatened species & conservation
"Hou, X.",1,1,Arid zone ecology
"How, R.",1,1,Threatened species & conservation
"Howden, C.",1,1,Predators & invasives
"Howell, M. J.",1,1,Dasyurids & marsupials
"Huang, C.",1,1,Other
"Huang, S.",1,1,Arid zone ecology
"Hughes, C.",1,1,Predators & invasives
"Hulst, F.",1,1,Arid zone ecology
"Hume, S.",1,1,Predators & invasives
"Hunter, D.",1,1,Other
"Hunter, J. T.",1,1,Threatened species & conservation
"Hurwood, D. A.",1,1,Dasyurids & marsupials
"Hutchinson, M. N.",1,1,Threatened species & conservation
"Huxman, T. E.",1,1,Vegetation & plant ecology
"Indigo, N.",1,1,Dasyurids & marsupials
"Irvine, C.",1,1,Other
"Jackett, N.",1,1,Dasyurids & marsupials
"James, A. I.",1,1,Predators & invasives
"Jamieson, L. T.",1,1,Threatened species & conservation
"Jennings, P.",1,1,Predators & invasives
"Jessup, D.",1,1,Other
"Jestrimski, Z.",1,1,Arid zone ecology
"Jin, V. L.",1,1,Vegetation & plant ecology
"Johnson, B.",1,1,Other
"Johnston, E. L.",1,1,Threatened species & conservation
"Kahn, B. M.",1,1,Threatened species & conservation
"Kajin, M.",1,1,Other
"Kark, S.",1,1,Threatened species & conservation
"Kay, A.",1,1,Vegetation & plant ecology
"Kearney, M. R.",1,1,Threatened species & conservation
"Kearns, A.",1,1,Threatened species & conservation
"Keating, J.",1,1,Threatened species & conservation
"Keehn, J. E.",1,1,Other
"Kelly, D.",1,1,Other
"Kennedy, M. S.",1,1,Predators & invasives
"Kern, P. L.",1,1,Dasyurids & marsupials
"Kimpton, K.",1,1,Other
"Kiyokawa, Y.",1,1,Other
"Klein, J. A.",1,1,Vegetation & plant ecology
"Kobayashi, S.",1,1,Predators & invasives
"Koerner, S. E.",1,1,Vegetation & plant ecology
"Koungoulos, L.",1,1,Predators & invasives
"Kovacs, E. K.",1,1,Predators & invasives
"Kreutzmann, J. C.",1,1,Other
"Krige, Z.",1,1,Arid zone ecology
"Kwok, A. B. C.",1,1,Arid zone ecology
"La Marca, W.",1,1,Arid zone ecology
"Lacey, C.",1,1,Arid zone ecology
"Ladouceur, E.",1,1,Vegetation & plant ecology
"Ladwig, L. W.",1,1,Vegetation & plant ecology
"Lahoz-Monfort, J. J.",1,1,Threatened species & conservation
"Lambrinos, J. G.",1,1,Vegetation & plant ecology
"Lamont, A.",1,1,Other
"Lane, C.",1,1,Predators & invasives
"Lapidge, S. J.",1,1,Predators & invasives
"Laurance, W. F.",1,1,Threatened species & conservation
"Lawrence, J.",1,1,Predators & invasives
"Le Pendu, Y.",1,1,Other
"Leakey, A. D. B.",1,1,Vegetation & plant ecology
"Leavitt, D. J.",1,1,Other
"Lee, M. S. Y.",1,1,Predators & invasives
"Leiner, N. O.",1,1,Dasyurids & marsupials
"Leiper, I.",1,1,Predators & invasives
"Leone, J.",1,1,Predators & invasives
"Leslie, E. F.",1,1,Predators & invasives
"Lessa, I. C. M.",1,1,Other
"Li, G.",1,1,Arid zone ecology
"Li, Q.",1,1,Vegetation & plant ecology
"Li, W.",1,1,Vegetation & plant ecology
"Lim, L.",1,1,Threatened species & conservation
"Liu, J.",1,1,Arid zone ecology
"Lkhagva, A.",1,1,Vegetation & plant ecology
"Lloyd, H.",1,1,Predators & invasives
"Lloyd, R.",1,1,Threatened species & conservation
"Lohr, C. A.",1,1,Predators & invasives
"Longcore, T.",1,1,Other
"Loss, S. R.",1,1,Other
"Loyd, K. A. T.",1,1,Other
"Macdonald, K. J.",1,1,Predators & invasives
"Machado, D.",1,1,Other
"Mackey, B. G.",1,1,Predators & invasives
"Maguire, G.",1,1,Other
"Mahony, M.",1,1,Threatened species & conservation
"Major, R. E.",1,1,Predators & invasives
"Mannheimer, C.",1,1,Other
"Mansergh, I.",1,1,Threatened species & conservation
"Marino, C.",1,1,Predators & invasives
"Marra, P. A.",1,1,Other
"Marsh, C. J.",1,1,Other
"Marsh, J. R.",1,1,Threatened species & conservation
"Martin, M.",1,1,Arid zone ecology
"Martin, P.",1,1,Predators & invasives
"Marzluff, J. M.",1,1,Other
"Mason, R. T.",1,1,Predators & invasives
"Maxwell, M.",1,1,Predators & invasives
"McBride, E. A.",1,1,Predators & invasives
"McCarthy, M. A.",1,1,Threatened species & conservation
"McCreless, E. E.",1,1,Threatened species & conservation
"McDonald, T.",1,1,Threatened species & conservation
"McKechnie, C. A.",1,1,Other
"McLean, R.",1,1,Threatened species & conservation
"McLeod, S. R.",1,1,Arid zone ecology
"McMahon, C.",1,1,Other
"McManus, J.",1,1,Threatened species & conservation
"Melville, J.",1,1,Threatened species & conservation
"Metcalf, D.",1,1,Other
"Meyer, T. K.",1,1,Threatened species & conservation
"Michael, D. R.",1,1,Threatened species & conservation
"Middleton, A. D.",1,1,Threatened species & conservation
"Milewski, A. V.",1,1,Other
"Miller, J. R. B.",1,1,Threatened species & conservation
"Mitchell, C. E.",1,1,Vegetation & plant ecology
"Mitchell, D. S.",1,1,Arid zone ecology
"Mitchell, K. J.",1,1,Predators & invasives
"Mitchell, R.",1,1,Vegetation & plant ecology
"Moffatt, K. A.",1,1,Dasyurids & marsupials
"Molina, C.",1,1,Vegetation & plant ecology
"Molyneux, J.",1,1,Arid zone ecology
"Montambault, J.",1,1,Threatened species & conservation
"Moore, D.",1,1,Dasyurids & marsupials
"Moore, H.",1,1,Dasyurids & marsupials
"Moore, L. A.",1,1,Arid zone ecology
"Morgain, R.",1,1,Threatened species & conservation
"Morgan, D. L.",1,1,Threatened species & conservation
"Moritz, C.",1,1,Threatened species & conservation
"Mudge, C.",1,1,Other
"Mulvaney, J.",1,1,Predators & invasives
"Muraina, T. O.",1,1,Vegetation & plant ecology
"Murphy, D.",1,1,Dasyurids & marsupials
"Müller, W.",1,1,Predators & invasives
"Nankivill, A.",1,1,Other
"Narayan, E. J.",1,1,Arid zone ecology
"Navnith, M.",1,1,Dasyurids & marsupials
"Neaves, L. E.",1,1,Other
"Nelson, J. L.",1,1,Threatened species & conservation
"Nesbitt, B.",1,1,Predators & invasives
"Nicholls, M.",1,1,Threatened species & conservation
"Nichols, J. D.",1,1,Other
"Nicol, S. C.",1,1,Predators & invasives
"Nolan, K.",1,1,Other
"Noss, R. F.",1,1,Other
"Nou, T.",1,1,Other
"O'Halloran, L. R.",1,1,Vegetation & plant ecology
"Oldroyd, B. P.",1,1,Dasyurids & marsupials
"Oliver, D.",1,1,Threatened species & conservation
"Oliver, P. M.",1,1,Threatened species & conservation
"Osborne, B. B.",1,1,Vegetation & plant ecology
"Osborne, W. S.",1,1,Dasyurids & marsupials
"Ottewell, K.",1,1,Arid zone ecology
"Ovadia, O.",1,1,Other
"Ozgul, A.",1,1,Arid zone ecology
"Pacioni, C.",1,1,Predators & invasives
"Pallett, J.",1,1,Other
"Palmer, C.",1,1,Other
"Pannell, D.",1,1,Threatened species & conservation
"Parker, G.",1,1,Dasyurids & marsupials
"Parker, R.",1,1,Dasyurids & marsupials
"Parr, W. C. H.",1,1,Predators & invasives
"Parrott, M. L.",1,1,Dasyurids & marsupials
"Partridge, T.",1,1,Other
"Pascoe, C.",1,1,Predators & invasives
"Pascoe, J.",1,1,Predators & invasives
"Pausas, J. G.",1,1,Other
"Pedersen, S.",1,1,Dasyurids & marsupials
"Pedler, R.",1,1,Predators & invasives
"Pemberton, D.",1,1,Predators & invasives
"Pennay, M.",1,1,Predators & invasives
"Peterson, G.",1,1,Threatened species & conservation
"Peterson, R. O.",1,1,Other
"Philippe-Lesaffre, M.",1,1,Predators & invasives
"Phillip, J.",1,1,Predators & invasives
"Phinn, S. R.",1,1,Arid zone ecology
"Pierre, K. J.",1,1,Vegetation & plant ecology
"Piggott, M. P.",1,1,Predators & invasives
"Pimm, S. L.",1,1,Threatened species & conservation
"Pizzuto, T. A.",1,1,Arid zone ecology
"Pollock, K. H.",1,1,Predators & invasives
"Porter, J.",1,1,Arid zone ecology
"Prezoto, F.",1,1,Other
"Pyke, D. A.",1,1,Vegetation & plant ecology
"Ramsey, D.",1,1,Predators & invasives
"Raynaud, X.",1,1,Vegetation & plant ecology
"Raña, A. F.",1,1,Dasyurids & marsupials
"Read, D. G.",1,1,Dasyurids & marsupials
"Recher, H. F.",1,1,Threatened species & conservation
"Rees, M. W.",1,1,Predators & invasives
"Richer, R. A.",1,1,Other
"Rivory, P.",1,1,Predators & invasives
"Roberts, M.",1,1,Other
"Robertson, P.",1,1,Threatened species & conservation
"Robinson, C. J.",1,1,Predators & invasives
"Robinson, D.",1,1,Threatened species & conservation
"Robinson, S.",1,1,Predators & invasives
"Robson, T.",1,1,Vegetation & plant ecology
"Rocca, C.",1,1,Vegetation & plant ecology
"Rodgerson, L.",1,1,Threatened species & conservation
"Roelofs, K.",1,1,Other
"Romanow, K. A.",1,1,Predators & invasives
"Roshier, D.",1,1,Threatened species & conservation
"Rowland, J.",1,1,Predators & invasives
"Russell, E. M.",1,1,Dasyurids & marsupials
"Rutter, N.",1,1,Threatened species & conservation
"Ruykys, L.",1,1,Other
"Salguero-Gómez, R.",1,1,Vegetation & plant ecology
"Sanders, E.",1,1,Arid zone ecology
"Sanderson, C.",1,1,Threatened species & conservation
"Sant'Anna, A. C.",1,1,Other
"Santos, C. L. A.",1,1,Other
"Santos, X.",1,1,Other
"Saran, K. A.",1,1,Dasyurids & marsupials
"Sarre, A.",1,1,Threatened species & conservation
"Savolainen, P.",1,1,Predators & invasives
"Schmitz, O. J.",1,1,Threatened species & conservation
"Schneider, M.",1,1,Other
"Schoenefuss, P.",1,1,Dasyurids & marsupials
"Schubert, A. T.",1,1,Predators & invasives
"Schuchardt, M. A.",1,1,Vegetation & plant ecology
"Scott, L. K.",1,1,Dasyurids & marsupials
"Scott, M. P.",1,1,Predators & invasives
"Shabani, F.",1,1,Predators & invasives
"Sharp, A.",1,1,Predators & invasives
"Sher, A. A.",1,1,Threatened species & conservation
"Shimmin, G. A.",1,1,Dasyurids & marsupials
"Short, J.",1,1,Predators & invasives
"Silva, W. R.",1,1,Dasyurids & marsupials
"Silva-Rodriguez, E. A.",1,1,Other
"Simberloff, D.",1,1,Other
"Simonson, A.",1,1,Vegetation & plant ecology
"Sims, C.",1,1,Arid zone ecology
"Sinclair, A. R. E.",1,1,Threatened species & conservation
"Sitters, J.",1,1,Vegetation & plant ecology
"Sizemore, G. C.",1,1,Other
"Skarpe, C.",1,1,Dasyurids & marsupials
"Smallbone, L.",1,1,Threatened species & conservation
"Smith, A. L.",1,1,Other
"Smyth, R.",1,1,Predators & invasives
"Soderquist, T. R.",1,1,Dasyurids & marsupials
"Soennichsen, K.",1,1,Threatened species & conservation
"Somaweera, R.",1,1,Threatened species & conservation
"Song, Y.",1,1,Arid zone ecology
"Souza, J. B.",1,1,Arid zone ecology
"Sparrow, B.",1,1,Other
"Speed, J.",1,1,Predators & invasives
"Srepkovitch, B.",1,1,Predators & invasives
"Sriram, A.",1,1,Threatened species & conservation
"Start, A. N.",1,1,Other
"Stawski, C.",1,1,Predators & invasives
"Steeves, T. E.",1,1,Other
"Stoddart, D. M.",1,1,Arid zone ecology
"Stojanovic, D.",1,1,Other
"Stoner, K. J.",1,1,Threatened species & conservation
"Stott, J.",1,1,Other
"Stoyanov, S.",1,1,Predators & invasives
"Strona, G.",1,1,Predators & invasives
"Stuart, J.",1,1,Predators & invasives
"Styles, I. M.",1,1,Predators & invasives
"Sulger, J.",1,1,Other
"Sullivan, L.",1,1,Vegetation & plant ecology
"Sutherland, D. R.",1,1,Predators & invasives
"Taggart, P. L.",1,1,Other
"Tait, L.",1,1,Dasyurids & marsupials
"Tamme, R.",1,1,Vegetation & plant ecology
"Tatler, J.",1,1,Predators & invasives
"Teale, R.",1,1,Threatened species & conservation
"Teixeira, D.",1,1,Threatened species & conservation
"Temple, S. A.",1,1,Other
"Thomas, D.",1,1,Threatened species & conservation
"Thompson, E.",1,1,Predators & invasives
"Thompson, G. G.",1,1,Other
"Thompson, J. A.",1,1,Predators & invasives
"Thompson, S. A.",1,1,Other
"Thomson, A.",1,1,Other
"Tourani, M.",1,1,Threatened species & conservation
"Trembath, D.",1,1,Predators & invasives
"Treves, A.",1,1,Threatened species & conservation
"Triggs, B.",1,1,Predators & invasives
"Troy, S.",1,1,Other
"Tuft, K.",1,1,Threatened species & conservation
"Umbrello, L.",1,1,Arid zone ecology
"Van Bommel, L.",1,1,Other
"Vanderduys, E.",1,1,Threatened species & conservation
"Varcoe, T.",1,1,Threatened species & conservation
"Veen, C. G. F.",1,1,Vegetation & plant ecology
"Vega, A. G.",1,1,Arid zone ecology
"Venosta, M.",1,1,Predators & invasives
"Venz, M.",1,1,Threatened species & conservation
"Verhoeven, E. M.",1,1,Arid zone ecology
"Vickery, W. L.",1,1,Arid zone ecology
"Vine, S. J.",1,1,Predators & invasives
"Walker, F.",1,1,Dasyurids & marsupials
"Walker, M.",1,1,Predators & invasives
"Walkup, D. K.",1,1,Other
"Wan, X.",1,1,Arid zone ecology
"Wang, F.",1,1,Predators & invasives
"Wang, G.",1,1,Arid zone ecology
"Wang, S.",1,1,Vegetation & plant ecology
"Waples, K.",1,1,Predators & invasives
"Wapstra, E.",1,1,Threatened species & conservation
"Ward, M.",1,1,Threatened species & conservation
"Wardell-Johnson, G.",1,1,Threatened species & conservation
"Waring, E.",1,1,Vegetation & plant ecology
"Wasserberg, G.",1,1,Other
"Watchorn, M.",1,1,Arid zone ecology
"Watson, D. M.",1,1,Threatened species & conservation
"Watson, K.",1,1,Predators & invasives
"Watson, L.",1,1,Predators & invasives
"Waudby, H. P.",1,1,Threatened species & conservation
"Webber, B. L.",1,1,Predators & invasives
"Webeck, K.",1,1,Dasyurids & marsupials
"Wei, W.",1,1,Arid zone ecology
"Weisbecker, V.",1,1,Other
"Weiss, S. L.",1,1,Other
"Wells, R.",1,1,Dasyurids & marsupials
"Wenger, A.",1,1,Predators & invasives
"West, M.",1,1,Threatened species & conservation
"West, R.",1,1,Predators & invasives
"Westaway, D. M.",1,1,Other
"Weston, M. A.",1,1,Other
"Wheeler, R.",1,1,Dasyurids & marsupials
"Whelan, R. J.",1,1,Threatened species & conservation
"Whish, G. L.",1,1,Threatened species & conservation
"White, A.",1,1,Other
"White, J.",1,1,Predators & invasives
"Whittington, A.",1,1,Arid zone ecology
"Wiggins, N.",1,1,Other
"Williams, A. J.",1,1,Arid zone ecology
"Williams, M. R.",1,1,Threatened species & conservation
"Wilson, S.",1,1,Threatened species & conservation
"Wilson, T.",1,1,Predators & invasives
"Wimpenny, C.",1,1,Other
"Winter, J.",1,1,Dasyurids & marsupials
"Wolf, A. A.",1,1,Vegetation & plant ecology
"Wolkovich, E. M.",1,1,Vegetation & plant ecology
"Wong, B.",1,1,Predators & invasives
"Wood, S.",1,1,Other
"Woodford, L.",1,1,Predators & invasives
"Woodside, D. P.",1,1,Dasyurids & marsupials
"Woolley, C. K.",1,1,Other
"Wotjak, C. T.",1,1,Other
"Wragg, P. D.",1,1,Vegetation & plant ecology
"Wright, J.",1,1,Vegetation & plant ecology
"Wright, M.",1,1,Predators & invasives
"Wroe, S.",1,1,Other
"Wysong, M.",1,1,Predators & invasives
"Xu, X.",1,1,Arid zone ecology
"Yakovlevich, P.",1,1,Other
"Yang, L.",1,1,Vegetation & plant ecology
"Yin, B.",1,1,Arid zone ecology
"Young, H. S.",1,1,Vegetation & plant ecology
"Zerger, A.",1,1,Threatened species & conservation
"Zewe, F.",1,1,Predators & invasives
"Zhang, X.",1,1,Arid zone ecology
"Zhang, Z.",1,1,Arid zone ecology
"Zhao, J.",1,1,Arid zone ecology
"de Preu, N.",1,1,Arid zone ecology
"van de Ven, R.",1,1,Predators & invasives
"von Takach, B.",1,1,Arid zone ecology
